Дата;Клиент;Город;Товар;Количество;Цена;Сумма
29.08.2023;Иванов И.П.;МОСКВА;Товар Г;8;4358;34864,72
12/17/23;;москва;Товар А;39;4255,25;165954,75
28.01.2023;ТЕХНОСИЛА;НН;Товар Б;45;5401,51;243067,95
2023-12-21;"ОАО ""Газпром""";ЕКБ;Товар Д;79;8252,69;651962,51
08.01.2023;Tehnosila LLC;Екатеринбург;Товар А;87;136,40;11866,80
2023-08-19;ромашка;СПб;Товар Д;100;3546,05;354605,00
01/08/23;Иванов ИП;Екб;Товар А;90;4199,13;377921,70
21.06.2023;ИП Иванов;Нск;Товар Д;21;8466,41;177794,61
2023-11-14;РОМАШКА ООО;Moskva;Товар А;79;7524,44;594430,76
09/15/23;Иванов ИП;СПб;Товар Г;71; 4748,79₽ ;337164,09
2023-08-26;"ООО ""Яндекс""";;Товар В;29;6620,95;192007,55
11.12.2023;;Москва;Товар В;67;3417,39;228965,13
20.07.2023;ООО Яндекс;МОСКВА;Товар Д;55;9775,82;537670,10
12.08.2023;"ООО ""Яндекс""";Екб;Товар Д;51;2676,28;136490,28
17.02.2023;ООО Ромашка;Yekaterinburg;Товар Д;91; 5760,76₽ ;524229,16
2023-08-21;ИП Иванов;спб;Товар Д;32;3843;122984,32
2023-03-15;Gazprom;Moskva;Товар Д;16; 8956,59₽ ;143305,44
07/05/23;РОМАШКА ООО;Москва;Товар Г; 81 ;6904,63;559275,03
24.03.2023;ООО Ромашка;Н.Новгород;Товар Д;5;3533,16;17819,48
05/11/23;ООО Ромашка;Екб;Товар Б;28;2247,88;62940,64
06.03.2023;ОАО Газпром;москва;Товар Д;84;5008,44;420708,96
30.03.2023;"ООО ""Яндекс""";новосибирск;Товар Д;40;7248,40;289936,00
2023-05-20;газпром оао;СПб;Товар В;81;8905,55;721349,55
2023-11-06;ГАЗПРОМ;Москва;Товар В;55;819,14;45052,70
04.03.2023;;Новосибирск;Товар Д;42;3917,35;164528,70
2023-05-23;;Нижний Новгород;Товар Г;41;591;24256,83
03.03.2023;ИП Иванов;Yekaterinburg;Товар Д;3;8575,42;25726,26
26.07.2023;"ОАО ""Газпром""";МОСКВА;Товар А;9;4209,28;37883,52
02/10/23;;Saint-Petersburg;Товар Г;64;1301,99;68256,25
06.01.2023;ЗАО Техносила;N.Novgorod;Товар Б;12;3751,91;45022,92
27.01.2023;ромашка;Saint-Petersburg;Товар В;89;2772,13;246719,57
03/06/23;Gazprom;Novosibirsk;Товар А;67;6646,56;445319,52
26.04.2023;яндекс ооо;москва;Товар Б;85; 6980,15₽ ;593312,75
19.04.2023;Иванов И.П.;новосибирск;Товар А;44;5323,68;234241,92
2023-08-21;РОМАШКА ООО;спб;Товар Г;58;7822,21;453688,18
2023-06-07;РОМАШКА ООО;Moskva;Товар Б;3;383,00;1149,00
09.10.2023;ТЕХНОСИЛА;новосибирск;Товар Д; 43 ; 2798,63₽ ;120341,09
05.08.2023;Иванов И.П.;ЕКБ;Товар Д;64;593,73;37998,72
01/19/23;"ОАО ""Газпром""";спб;Товар Г;51;8258,28;421172,28
04/15/23;газпром оао;Москва;Товар Д;90;8540,38;768634,20
27.03.2023;Tehnosila LLC;Москва;Товар Г; 43 ;9746,27;419089,61
2023-01-05;;спб;Товар А;3;8370,05;25110,15
18.02.2023;YANDEX;Екатеринбург;Товар Д;33;4641,63;153173,79
2023-09-23;газпром оао;С-Петербург;Товар А;19; 6627,73₽ ;125926,87
2023-05-06;ТЕХНОСИЛА;N.Novgorod;Товар Г;82;6306,23;517110,86
27.09.2023;Яндекс;Новосибирск;Товар Г;-36;5248,77;-188955,72
2023-08-21;техносила;Москва;Товар Б;60;2968,84;178130,40
02/03/23;ромашка;Yekaterinburg;Товар Г; 40 ;3587;143493,20
2023-05-26;яндекс ооо;москва;Товар Б;94;899,11;84516,34
12/14/23;РОМАШКА ООО;Saint-Petersburg;Товар Б;73; 8063,36₽ ;588625,28
09.05.2023;"ОАО ""Газпром""";Saint-Petersburg;Товар Д;81;7845;635511,42
2023-12-22;"ООО ""Яндекс""";Нск;Товар Г;53;361;19163,74
2023-06-04;техносила;екатеринбург;Товар В;7; 4089,13₽ ;28623,91
09/23/23;ромашка;Нижний Новгород;Товар Д;13;6936,87;90179,31
09/19/23;Иванов И.П.;екатеринбург;Товар Г;18;8537,33;153671,94
2023-01-04;Иванов И.П.;Москва;Товар А; 67 ;2122,51;142208,17
01/29/23;ОАО Газпром;спб;Товар Д;34;8607,21;292645,14
05.04.2023;YANDEX;Санкт-Петербург;Товар Д;26;6708,60;174423,60
2023-07-20;Tehnosila LLC;Novosibirsk;Товар В;59; 5847,33₽ ;344992,47
12/03/23;техносила;НСК;Товар Г; 36 ;1667,31;60023,16
2023-12-28;ИП Иванов;Нск;Товар Д;44;1486,39;65401,16
2023-02-04;"ЗАО ""Техносила""";ЕКБ;Товар Д;91; 5301,80₽ ;482463,80
2023-10-25;;Москва;Товар Б; 30 ;1151,58;34547,40
02.05.2023;ИП Иванов;новосибирск;Товар Г; 9 ; 2579,79₽ ;23218,11
2023-08-15;ООО Ромашка;Новосибирск;Товар Г;49;5609,04;274842,96
26.04.2023;ИП Иванов;Екб;Товар Б;12;6719,72;80636,64
2023-07-04;"ООО ""Ромашка""";Н.Новгород;Товар Д;64;8293,00;530752,00
03/12/23;ООО Яндекс;москва;Товар Б;67;2382,68;159639,56
05/29/23;"ООО ""Яндекс""";Санкт-Петербург;Товар А;69;9324,91;643418,79
2023-12-24;Иванов;МОСКВА;Товар В;26;1478,96;38452,96
12/06/23;;Yekaterinburg;Товар А;45;6021;270974,70
08.03.2023;ромашка;Екатеринбург;Товар В;56;8776,85;546910,32
2023-04-11;Яндекс;Москва;Товар А;50;4354,21;217710,50
11/12/23;Иванов И.П.;МОСКВА;Товар А; 76 ;4189,35;318390,60
01/24/23;YANDEX;МОСКВА;Товар Б;-57;3561,71;-203017,47
2023-11-07;;С-Петербург;Товар Б;64;8986,64;575144,96
07/07/23;ООО Яндекс;С-Петербург;Товар Д;65;4167,26;270871,90
2023-03-12;Иванов ИП;СПб;Товар Б;5;6534,09;32670,45
18.01.2023;Gazprom;москва;Товар Д;50; 3908,17₽ ;195408,50
2023-04-05;Яндекс;екатеринбург;Товар А;78;8298,76;647303,28
2023-01-15;ТЕХНОСИЛА;N.Novgorod;Товар А;14;9331,48;130640,72
2023-08-06;ГАЗПРОМ;новосибирск;Товар Б;17;6857,73;116581,41
06/01/23;газпром оао;С-Петербург;Товар Д;2;3277,79;6555,58
14.08.2023;ромашка;Екатеринбург;Товар Д;28;887,51;24850,28
14.08.2023;яндекс ооо;С-Петербург;Товар Б;30; 6217,70₽ ;186531,00
20.01.2023;ГАЗПРОМ;Yekaterinburg;Товар Д;92;9920;912686,92
06/30/23;ИП ИВАНОВ;москва;Товар А; 66 ;2120,01;139920,66
2023-02-06;;ЕКБ;Товар В;53;9430;499819,15
2023-05-29;ООО Ромашка;СПб;Товар Д;92;5856,72;538818,24
01/17/23;яндекс ооо;москва;Товар Б;73;5527,51;403508,23
2023-09-28;Яндекс;НСК;Товар Б;74;2506,43;185475,82
03/01/23;ТЕХНОСИЛА;Нск;Товар А;47;4544,78;213604,66
03/06/23;ТЕХНОСИЛА;Н.Новгород;Товар В;37;4144,18;153334,66
2023-04-12;ООО Ромашка;Novosibirsk;Товар Д;92; 1351,34₽ ;124323,28
20.12.2023;"ООО ""Ромашка""";Екб;Товар Г;46;2490,21;114549,66
2023-06-22;;N.Novgorod;Товар Г;53;4413,33;233906,49
2023-10-29;"ООО ""Ромашка""";Москва;Товар В;87;4442,01;386454,87
19.02.2023;ОАО Газпром;Yekaterinburg;Товар Д;75;2924,05;219303,75
2023-01-22;YANDEX;Екб;Товар Д; 41 ; 2919,43₽ ;119696,63
13.08.2023;ИП Иванов;С-Петербург;Товар А;30;2147,75;74807,20
10/04/23;ОАО Газпром;Москва;Товар В;74;1349,17;99838,58
03/03/23;;М.;Товар А;46; 2302,17₽ ;105899,82
21.06.2023;ООО Яндекс;Н.Новгород;Товар В;5;7962,55;39812,75
17.11.2023;ООО Яндекс;спб;Товар Г;29;1599,19;46376,51
04/12/23;ГАЗПРОМ;N.Novgorod;Товар Г;9; 7128,91₽ ;64160,19
2023-11-11;ООО Яндекс;Екб;Товар Б;39;6712,96;261805,44
10/06/23;РОМАШКА ООО;НН;Товар Г;58;1246,61;72303,38
12/23/23;ОАО Газпром;Екатеринбург;Товар Б;4;8909;35636,52
05/14/23;Tehnosila LLC;С-Петербург;Товар В;63;8203,39;516813,57
2023-03-27;РОМАШКА ООО;ЕКБ;Товар Б;78;309,07;24107,46
2023-06-30;;СПб;Товар Б;21;7206,42;151334,82
31.07.2023;YANDEX;;Товар А;97;4039,58;391839,26
2023-04-28;ромашка;Moskva;Товар Г;84;8778;737398,20
12/27/23;ООО Ромашка;екатеринбург;Товар Б;13;2023,41;26304,33
09/20/23;Tehnosila LLC;С-Петербург;Товар Д;61;2300,30;140318,30
12/26/23;ООО Ромашка;N.Novgorod;Товар В;98;2318,20;227183,60
07/09/23;Иванов ИП;Нижний Новгород;Товар А;72;4949,13;356337,36
2023-08-31;яндекс ооо;НН;Товар Г;40;461,45;18458,00
2023-05-18;ОАО Газпром;Новосибирск;Товар Б;42;5592,59;234888,78
08/06/23;;Екб;Товар Б;26;486,71;12654,46
07.09.2023;"ОАО ""Газпром""";Москва;Товар Г;38;2783,97;105790,86
26.03.2023;ГАЗПРОМ;ЕКБ;Товар В;67;2185,11;146402,37
11.03.2023;"ООО ""Яндекс""";Москва;Товар Б;20;155,46;3109,20
08/23/23;Tehnosila LLC;москва;Товар Д;-29;2007,14;-58207,06
2023-06-06;Иванов;Нижний Новгород;Товар А;76;2871,86;218261,36
10/28/23;Gazprom;Yekaterinburg;Товар Д;86;126,44;10873,84
11.11.2023;ИП Иванов;Москва;Товар А;18;6681,94;120274,92
2023-10-14;"ООО ""Яндекс""";Saint-Petersburg;Товар В; 68 ;6093,27;414342,36
2023-05-23;"ОАО ""Газпром""";нижний новгород;Товар А;72;1862,32;134087,04
06/27/23;"ОАО ""Газпром""";СПб;Товар Б;96;3673,81;352685,76
2023-07-08;ООО Ромашка;МОСКВА;Товар Г; 51 ;6985,44;356257,44
2023-01-16;газпром оао;Екатеринбург;Товар Д; 14 ;385,49;5396,86
09.03.2023;;Нижний Новгород;Товар В;13;8540,50;111026,50
12/11/23;"ООО ""Яндекс""";Yekaterinburg;Товар В; 67 ;6678,50;447459,50
2023-04-09;YANDEX;Санкт-Петербург;Товар В;78;1812,39;128573,50
29.06.2023;Tehnosila LLC;нижний новгород;Товар Г;12;7322,55;87870,60
03/28/23;техносила;N.Novgorod;Товар В;88;1991,75;175274,00
28.12.2023;Иванов;Новосибирск;Товар Б;35;3019,83;105694,05
2023-10-24;ГАЗПРОМ;Нижний Новгород;Товар Б;5;1641,47;8207,35
;;;;;;
2023-11-27;Иванов И.П.;Екб;Товар В;12;2260,72;27128,64
20.11.2023;Romashka Ltd;Новосибирск;Товар Г;-85;7042,75;-579814,56
2023-06-21;ИП Иванов;Saint-Petersburg;Товар Д;24;6204,46;148907,04
08/31/23;техносила;Екатеринбург;Товар В;6;7655,41;45932,46
05/18/23;ООО Ромашка;Санкт-Петербург;Товар Д;90;9727,03;875432,70
01/28/23;яндекс ооо;Нск;Товар Б; 59 ;1560,16;92049,44
05/01/23;YANDEX;Н.Новгород;Товар В;1;4760,93;4760,93
12/09/23;ИП ИВАНОВ;Moskva;Товар В;98;3338,41;327164,18
11/02/23;ОАО Газпром;;Товар Д;23;3464,52;79683,96
02/09/23;;Saint-Petersburg;Товар В;50;2921,14;172844,60
04.08.2023;"ЗАО ""Техносила""";Moskva;Товар А;45;8638;388728,90
2023-10-22;ООО Ромашка;Н.Новгород;Товар А;39;1247,99;48671,61
2023-08-31;техносила;Санкт-Петербург;Товар Д;98;1588,83;155705,34
2023-04-12;Tehnosila LLC;НСК;Товар А;63;6033,35;380101,05
01/13/23;техносила;НСК;Товар А;77;5359,56;412686,12
2023-03-06;ТЕХНОСИЛА;Нск;Товар Д;32;9329,44;277833,83
20.01.2023;YANDEX;Moskva;Товар А;44; 4283,05₽ ;188454,20
2023-05-12;"ООО ""Ромашка""";Novosibirsk;Товар Б;74;5188,99;383985,26
07/11/23;ТЕХНОСИЛА;нижний новгород;Товар В;65;9106,49;591921,85
2023-01-10;Иванов;ЕКБ;Товар В;-13; 3313,63₽ ;-43077,19
12/31/23;ТЕХНОСИЛА;Новосибирск;Товар Г; 72 ;3471,90;249976,80
13.09.2023;"ООО ""Яндекс""";новосибирск;Товар А;85;6350,70;539809,50
09/29/23;ЗАО Техносила;;Товар Д;75;4372;327911,25
2023-10-12;"ЗАО ""Техносила""";М.;Товар А;13;1195,26;15538,38
07/25/23;Иванов И.П.;ЕКБ;Товар В;81;9606,37;778115,97
20.07.2023;"ЗАО ""Техносила""";НСК;Товар Г;21;2955,24;62060,04
03/30/23;Gazprom;Novosibirsk;Товар А;80; 5083,28₽ ;406662,40
07/29/23;ИП ИВАНОВ;Нижний Новгород;Товар А; 48 ;6053,29;290557,92
04/09/23;техносила;спб;Товар Б;42;405,81;17044,02
2023-08-16;Tehnosila LLC;Moskva;Товар В;21;791,44;16620,24
2023-09-24;"ООО ""Ромашка""";С-Петербург;Товар Д;16;9893,17;158290,72
31.01.2023;"ЗАО ""Техносила""";N.Novgorod;Товар В;52;6531,34;339629,68
2023-05-15;РОМАШКА ООО;Нск;Товар В;19; 2179,84₽ ;41416,96
2023-02-07;яндекс ооо;С-Петербург;Товар Г;43;5725,49;246196,07
28.05.2023;техносила;нижний новгород;Товар Б;73;4454,64;325188,72
2023-03-17;Иванов;Москва;Товар Д;-39;3705,20;-144502,80
09/02/23;техносила;Yekaterinburg;Товар В;67;4903,93;328563,31
14.07.2023;"ООО ""Ромашка""";Saint-Petersburg;Товар Б;36;1283,96;46222,56
2023-11-23;ГАЗПРОМ;N.Novgorod;Товар А;52;5123,42;266417,84
2023-10-03;ромашка;Екб;Товар В;95;8589,47;815999,65
;;;;;;
08.11.2023;;СПб;Товар А;17;2353,10;40002,70
10/02/23;;Екатеринбург;Товар А;61;2228,44;135934,84
02/27/23;ООО Яндекс;Нижний Новгород;Товар Г;1;2780,36;2780,36
05/26/23;"ОАО ""Газпром""";С-Петербург;Товар Д;40;7590;303618,40
09/18/23;"ООО ""Ромашка""";Н.Новгород;Товар Г;44;1908,29;83964,76
2023-09-14;ОАО Газпром;Saint-Petersburg;Товар Б;74;1999,85;147988,90
06.12.2023;ГАЗПРОМ;Нижний Новгород;Товар Г;100;2702,27;270227,00
06/06/23;YANDEX;Saint-Petersburg;Товар Г;98;4100,40;401839,20
08/22/23;"ООО ""Яндекс""";Н.Новгород;Товар В; 48 ;4332,23;207947,04
04/21/23;Иванов;спб;Товар Г;93;9472,41;880934,13
12/28/23;газпром оао;МОСКВА;Товар В;36;2913,93;104901,48
2023-07-31;Gazprom;СПб;Товар Г;32;6640,84;212506,88
03/13/23;"ООО ""Яндекс""";Новосибирск;Товар В;99;1922,99;190376,01
12/13/23;газпром оао;Москва;Товар Г;55;575,51;31653,05
2023-01-09;ГАЗПРОМ;Новосибирск;Товар Г;37;7370,89;272722,93
30.09.2023;ГАЗПРОМ;москва;Товар Г;79;823,53;65058,87
03/19/23;ООО Яндекс;НСК;Товар Г;3;6274;18823,59
19.03.2023;ИП ИВАНОВ;НН;Товар Г;84;5786,94;486102,96
20.03.2023;Romashka Ltd;Санкт-Петербург;Товар Д;-78;1360;-106119,00
04/28/23;ИП Иванов;С-Петербург;Товар Б;99;8998,91;890892,09
2023-08-16;Иванов И.П.;НСК;Товар Б;27;1334,03;36018,81
22.09.2023;яндекс ооо;Екатеринбург;Товар В;96; 2182,24₽ ;209495,04
02.09.2023;РОМАШКА ООО;;Товар Г;52;3667;190730,28
2023-11-30;"ООО ""Ромашка""";новосибирск;Товар А;36;549,16;19917,02
2023-03-13;ромашка;СПб;Товар В;48;4250,47;204022,56
09.12.2023;РОМАШКА ООО;Москва;Товар В;52;2725,30;141715,60
29.08.2023;Romashka Ltd;МОСКВА;Товар Д;93;247;23053,77
02/27/23;ТЕХНОСИЛА;екатеринбург;Товар Д; 82 ;4814,81;394814,42
2023-10-04;;Екатеринбург;Товар Д;26; 8073,93₽ ;209922,18
02/18/23;газпром оао;спб;Товар В;43;5948,77;255797,11
03/09/23;Romashka Ltd;МОСКВА;Товар Г; 81 ;2059,17;186459,12
03/24/23;ОАО Газпром;Нск;Товар Д;52;6250,99;325051,48
09/21/23;ИП Иванов;Екатеринбург;Товар Г; 85 ;8576,52;729004,20
2023-08-07;;НСК;Товар А;71;3541,48;251445,08
16.09.2023;ГАЗПРОМ;Н.Новгород;Товар А;26;6049,27;157281,02
09/30/23;ГАЗПРОМ;Санкт-Петербург;Товар Б;82;8448,06;692740,92
11/09/23;ромашка;новосибирск;Товар Д;54;1447;78169,86
10/12/23;YANDEX;москва;Товар Г;18;7669,47;138050,46
03/23/23;Иванов И.П.;Нск;Товар В;18;7422,58;133606,44
11.12.2023;;Moskva;Товар Д;14;2398,59;33580,26
11/09/23;яндекс ооо;Новосибирск;Товар А;49;6306,29;309008,21
09/07/23;;N.Novgorod;Товар Д;47;4995,86;234805,42
02/23/23;YANDEX;С-Петербург;Товар В;54; 3630,95₽ ;196071,30
06.09.2023;ОАО Газпром;Novosibirsk;Товар А;100;6105,74;610574,00
2023-12-08;Gazprom;Нижний Новгород;Товар Д;13;3670,94;47722,22
07/21/23;ООО Яндекс;НСК;Товар Д;5;6318,37;32437,63
01/13/23;Иванов ИП;Москва;Товар В;46;9738,44;440479,03
22.11.2023;ИП Иванов;НН;Товар В;95;8173,15;776449,25
2023-11-12;ИП ИВАНОВ;Saint-Petersburg;Товар А;82;6430,80;527325,60
2023-09-06;техносила;Санкт-Петербург;Товар А;25;7032,26;175806,50
07/23/23;;ЕКБ;Товар Г;34; 3602,62₽ ;122489,08
2023-05-31;ЗАО Техносила;НСК;Товар Б;71;360,96;25628,16
2023-04-26;;спб;Товар Д;62;5557,14;344542,68
2023-10-25;"ЗАО ""Техносила""";нижний новгород;Товар В;34;9262,51;314925,34
21.12.2023;"ООО ""Яндекс""";екатеринбург;Товар А;65;1137,60;73944,00
2023-12-26;ИП ИВАНОВ;Yekaterinburg;Товар Г;80;740;59208,80
29.11.2023;техносила;нижний новгород;Товар В;9;2594;23354,28
2023-08-09;"ЗАО ""Техносила""";НСК;Товар В;43;5128,75;220536,25
10/28/23;;НН;Товар А;100;5344,74;534474,00
2023-11-04;;Екатеринбург;Товар В; 12 ;4095,20;49142,40
07/15/23;ЗАО Техносила;Saint-Petersburg;Товар Г;33;4074,13;134446,29
06/23/23;;ЕКБ;Товар Д;8;117;936,96
06.06.2023;Gazprom;москва;Товар Б;82;2261,90;185475,80
11/04/23;Tehnosila LLC;НН;Товар Б; 57 ;483,87;27580,59
06/09/23;Яндекс;Екб;Товар А;64;6170,60;394918,40
2023-07-19;Яндекс;Новосибирск;Товар Б;31; 7961,13₽ ;246795,03
2023-09-03;"ООО ""Яндекс""";Yekaterinburg;Товар Д;12;5320,64;63847,68
10/07/23;Romashka Ltd;СПб;Товар Г;52; 335,96₽ ;17469,92
11/09/23;яндекс ооо;Н.Новгород;Товар Д;6;8931,72;53590,32
2023-06-10;ромашка;новосибирск;Товар Д;7;4394,66;30762,62
2023-12-15;РОМАШКА ООО;Санкт-Петербург;Товар В;10;5754;57543,40
19.12.2023;;спб;Товар В;23;3780;86955,18
05/07/23;ТЕХНОСИЛА;нижний новгород;Товар В;27;9145;246941,73
13.07.2023;Иванов И.П.;Екатеринбург;Товар А;-81; 7694,55₽ ;-623258,55
02/06/23;;екатеринбург;Товар В;88;2919,59;256923,92
2023-03-03;Иванов И.П.;екатеринбург;Товар Б;-17; 4840,32₽ ;-78601,15
2023-02-12;ИП ИВАНОВ;Нск;Товар Б;-57;9342,79;-532539,03
12.06.2023;ООО Ромашка;Новосибирск;Товар В;23;6476,94;148969,62
02.02.2023;ООО Яндекс;Н.Новгород;Товар А; 57 ;2533,18;144391,26
12.06.2023;;Екб;Товар Д;93; 3766,68₽ ;350301,24
30.04.2023;ООО Ромашка;новосибирск;Товар А;-29; 5501,27₽ ;-159536,83
2023-09-01;Иванов ИП;новосибирск;Товар Б;88;9803,30;862690,40
08/21/23;Romashka Ltd;N.Novgorod;Товар Г;33;307,28;10140,24
2023-12-30;"ЗАО ""Техносила""";Нижний Новгород;Товар Г;54;4577,89;247206,06
2023-12-07;Иванов И.П.;нижний новгород;Товар Б;94;9013,51;847269,94
11/26/23;ОАО Газпром;Нижний Новгород;Товар Д; 53 ;2250,06;119253,18
2023-09-22;ООО Ромашка;новосибирск;Товар Б;35;7715,48;270041,80
03/19/23;YANDEX;Екатеринбург;Товар Д;68;6794;528956,30
01/28/23;техносила;М.;Товар В;9;5876,14;52885,26
2023-05-29;ИП Иванов;М.;Товар А;69;5660,47;390572,43
2023-05-08;Romashka Ltd;Moskva;Товар Б;49;7694,67;377038,83
08/14/23;ООО Ромашка;Н.Новгород;Товар В;11;1435,94;15795,34
09.12.2023;ООО Яндекс;нижний новгород;Товар А;46;257,96;11866,16
10.05.2023;Иванов;Москва;Товар Б;7;2704,82;18933,74
12/03/23;;;Товар Д;3;4754,20;14262,60
2023-07-12;ТЕХНОСИЛА;Новосибирск;Товар В;93; 2888,25₽ ;268607,25
10.12.2023;Яндекс;Екб;Товар А;17;836,70;14223,90
02/14/23;ООО Ромашка;Новосибирск;Товар Д;10;8726,36;87263,60
02/24/23;Romashka Ltd;N.Novgorod;Товар Б;12;4386,40;52636,80
2023-07-18;ОАО Газпром;нижний новгород;Товар Д;91;6793;618252,18
04.01.2023;Иванов И.П.;екатеринбург;Товар Б;90;1963,17;176685,30
2023-07-22;газпром оао;Нижний Новгород;Товар Г;33;5352,45;176630,85
24.03.2023;"ООО ""Ромашка""";N.Novgorod;Товар Г;11;4514,73;49662,03
2023-07-05;"ООО ""Ромашка""";N.Novgorod;Товар Г;46;5046,98;232161,08
08.04.2023;;Нск;Товар Г;42;9725,53;408472,26
;;;;;;
03/14/23;ООО Ромашка;Новосибирск;Товар Б;52;8192,31;426000,12
22.04.2023;"ЗАО ""Техносила""";С-Петербург;Товар А;64;9556,44;611612,16
2023-09-13;ИП Иванов;Н.Новгород;Товар А;9; 6117,39₽ ;55056,51
09/11/23;ООО Ромашка;Нижний Новгород;Товар В;88;6031,25;530750,00
12/19/23;;НСК;Товар Б;27;9110,45;245982,15
2023-09-01;Gazprom;нижний новгород;Товар Б;42;9122,67;383152,14
05/08/23;ООО Ромашка;Moskva;Товар Б;80;4680,62;374449,60
2023-02-04;яндекс ооо;М.;Товар А;61;3339,42;203704,62
05/20/23;ЗАО Техносила;екатеринбург;Товар Б;77;699,57;53866,89
05/08/23;ООО Ромашка;СПб;Товар А;4;879,23;3516,92
11/17/23;Tehnosila LLC;Moskva;Товар Г;36;2919,15;86275,18
06/17/23;ЗАО Техносила;новосибирск;Товар Г;83;6169,51;512069,33
19.10.2023;;нижний новгород;Товар Г;9;1112,31;10010,79
07/04/23;ТЕХНОСИЛА;москва;Товар Д;8;4020,30;32162,40
18.08.2023;яндекс ооо;С-Петербург;Товар А;-83;6464,74;-592061,07
03/20/23;ЗАО Техносила;НН;Товар Г;3;332,78;998,34
04/13/23;Gazprom;Нск;Товар Д;48;4032;193540,80
15.11.2023;"ОАО ""Газпром""";новосибирск;Товар Б;97;3337,88;323774,36
2023-01-15;Яндекс;новосибирск;Товар А;6;9337,53;56025,18
2023-06-02;Gazprom;Нск;Товар Б;73; 2246,38₽ ;185604,78
20.06.2023;YANDEX;Новосибирск;Товар Г;78;4853,74;378591,72
08.05.2023;РОМАШКА ООО;Москва;Товар А;36;3876,07;139538,52
2023-04-21;YANDEX;москва;Товар А;39;3090,30;120521,70
15.04.2023;ООО Яндекс;Н.Новгород;Товар Г; 23 ;952,34;21903,82
13.10.2023;ООО Ромашка;Екатеринбург;Товар Б; 28 ; 6812,39₽ ;190746,92
2023-08-27;Gazprom;Н.Новгород;Товар В;91; 8039,22₽ ;731569,02
07.04.2023;Tehnosila LLC;;Товар Д;56;7940,44;444664,64
02/15/23;ОАО Газпром;Нск;Товар В;93;7378,43;686193,99
2023-08-28;Romashka Ltd;НН;Товар Д;53;6061,30;321248,90
2023-08-27;Яндекс;МОСКВА;Товар Б;77;7473,46;575456,42
04/16/23;ТЕХНОСИЛА;Екб;Товар Д;14;5549,44;77692,16
06/21/23;техносила;новосибирск;Товар Г;29;6909,23;200367,67
2023-03-21;Иванов И.П.;Екб;Товар Г;19;3134,90;59563,10
23.11.2023;;Москва;Товар Б;24;763,52;18324,48
2023-12-05;Иванов ИП;Нск;Товар Г;80; 6186,55₽ ;494924,00
01/17/23;Иванов;новосибирск;Товар А;55;3575,44;160361,25
09/07/23;Иванов;москва;Товар А;59;6075,73;358468,07
12/27/23;;Н.Новгород;Товар А;65;4685,48;304556,20
12/01/23;РОМАШКА ООО;Екатеринбург;Товар Г;-38;6051,09;-229941,42
09.02.2023;ОАО Газпром;новосибирск;Товар Б;99;2311,88;228876,12
2024-01-01;РОМАШКА ООО;М.;Товар Д; 73 ;5011,84;365864,32
2023-12-22;ТЕХНОСИЛА;С-Петербург;Товар Г; 9 ;2701,48;24313,32
2023-05-05;;москва;Товар Б;58;5617,95;325841,10
2023-10-26;ИП ИВАНОВ;Saint-Petersburg;Товар Г;2;220,44;440,88
06/05/23;ИП ИВАНОВ;СПб;Товар Г;62;3939,79;244266,98
2023-03-16;Romashka Ltd;москва;Товар А;73;4193,74;306143,02
28.07.2023;;Новосибирск;Товар А;25;3968,68;99217,00
2023-03-07;ГАЗПРОМ;Нижний Новгород;Товар Б;31;7753;240364,08
2023-02-13;яндекс ооо;Нск;Товар В;60;3480,68;208840,80
08/29/23;"ООО ""Яндекс""";екатеринбург;Товар Д;77; 4746,35₽ ;365468,95
2023-06-25;"ООО ""Ромашка""";С-Петербург;Товар В;77;9067,53;698199,81
06.06.2023;ЗАО Техносила;Novosibirsk;Товар Д;55;6169,23;339307,65
04/08/23;"ОАО ""Газпром""";СПб;Товар Д;67;8773,84;587847,28
22.06.2023;ООО Яндекс;Нск;Товар Г;92; 5420,35₽ ;498672,20
10.05.2023;"ЗАО ""Техносила""";;Товар Б;33;9909,45;327011,85
12.04.2023;ТЕХНОСИЛА;Екатеринбург;Товар Г;56;1892,94;106004,64
05.02.2023;"ОАО ""Газпром""";М.;Товар Г; 27 ; 6636,94₽ ;179197,38
11/16/23;ИП ИВАНОВ;ЕКБ;Товар В;71;327,25;23234,75
16.07.2023;;Санкт-Петербург;Товар Д;35;2537,31;88805,85
03/30/23;ООО Ромашка;Saint-Petersburg;Товар Д;50;8488,09;424404,50
2023-07-16;ООО Ромашка;С-Петербург;Товар Г;56;3288,59;184161,04
07.11.2023;Romashka Ltd;ЕКБ;Товар Г;22;3210,70;70635,40
2023-04-29;ООО Ромашка;Yekaterinburg;Товар А;-58;5759;-334045,20
08/17/23;Иванов;С-Петербург;Товар В;62;5896,40;365576,80
01/19/23;яндекс ооо;нижний новгород;Товар А;79;884,63;69885,77
12.08.2023;ИП Иванов;Saint-Petersburg;Товар А;30;5768,83;173064,90
01.04.2023;ОАО Газпром;Санкт-Петербург;Товар Б;78;1104,95;86186,10
08/25/23;ИП Иванов;Санкт-Петербург;Товар А;42; 5181,13₽ ;217607,46
01/30/23;ОАО Газпром;М.;Товар Д;48;2533,31;121598,88
11/24/23;"ЗАО ""Техносила""";Saint-Petersburg;Товар Г;87;7289,73;634206,51
2023-09-24;"ООО ""Яндекс""";новосибирск;Товар Д;53; 1349,77₽ ;71537,81
;;;;;;
